Name,Review,SkuInfo,Date,StarCount
Shahrin S.,Oder 150 pcs dot 100 pcs je tapi saya bayar untuk harga 150 pcs,Color Family:White-50PCS,23 Jul 2022,1
GO A.,It is not 4 ply and made in China which is not as described.,Color Family:Black-50PCS,25 Feb 2023,1
Vijaya S.,Tali senang putus,Color Family:White-50PCS,17 Aug 2022,1
Sarath K.,"They mentioned 4ply But they send 2 ply
Quality not Good. Next time dont give a wrong info to cheat customers.😂
I just throw all the masks into dustbin.
Thanks and i hope you change your info",Color Family:Black-50PCS,07 Aug 2022,1
Lee S.,kurang 20pcs,Color Family:White-50PCS,18 Jul 2022,1
KAREN S.,No quality,Color Family:Black-50PCS,31 Aug 2022,1
.***.,I received wrong colour,Color Family:Black-50PCS,06 Aug 2022,1
Yo A.,order color hitam tapi sampai semua color putih..aiyaa,Color Family:Black-50PCS,29 Jun 2022,1
R***.,I did not receive the 50 pieces of gray masks. I have ordered 50 gray & 50 white but only received the 50 pieces of white masks. Please send the 50 gray masks.,Color Family:Grey-50PCS,22 Jul 2022,1
帅锅,,Color Family:Black-50PCS,13 Jan 2024,1
Sara M.,I oder black colour but they give white colour... very... very thin mask. No worth to buy...,Color Family:Black,20 May 2022,1
娜娜,👍👍👍很不错的服务,Color Family:Black-50PCS,15 Feb 2023,1
Karen S.,质量差,Color Family:Black-50PCS,11 Aug 2022,1
Maya M.,"I want WHITE colour.. But I got GRAY..

I DONT LIKE GRAY COLOUR",Color Family:White,13 Apr 2022,1
Tan A.,"order 10 packets (100 pcs). received with short 1 packet (10 pcs) of mask n ask for arrange to resend back 1 packet but seller said want apply the coupon for refund, but until now I'm no see it.",Color Family:Black-50PCS,04 Dec 2022,1
v***a,Very bad quality....,Color Family:Grey-50PCS,19 Aug 2022,1
Wan,very thun mask,Color Family:Black-50PCS,10 Oct 2023,1
Joe K.,"Dlm mask tu sepatutnya ada besi, tapi yg warna putih semuanya x dk.",Color Family:White,15 Jun 2022,1
L***.,product quality is low. delivery is fast.,Color Family:White-50PCS,08 Aug 2022,1
ooi H.,"Product show 4 ply
Received 3 ply mask...
Next time Please specific your mask is 3ply..",Color Family:Black-50PCS,19 May 2022,1
A***.,too slow delivery near move to far poor arrangement,Color Family:White,13 Jul 2022,1
Cornie B.,,Color Family:Black-50PCS,25 Sep 2023,1
Ken.C,"DO NOT PURCHASE FROM THIS SCAMMER! MARKETED AS KF94 BUT IN ACTUAL IT IS FAKE WITH ONLY 3 PLY! NO REPLY UPON SENDING THE PICTURES TO THEM TO QUESTION ON THE ORIGINALITY. 

AS FOR THE DELIVERY, IT TOOK 14 DAYS TO REACH.",Color Family:White,12 Jun 2022,1
loh K.,"Ear strings broken easily.. all the mask same
Quality not like last time",Color Family:Black,23 Jun 2022,1
Shariene,a bit small,Color Family:Grey,20 Jul 2022,1
Chloehan,"Quality very bad 
nipis like tissue paper",Color Family:White-50PCS,29 Jul 2022,1
M***.,tak bagus sangat. tali selalu putus.,Color Family:White,30 Apr 2022,1
Preveena,Veryyyyy thin,Color Family:Black-50PCS,05 Aug 2022,1
1***5,It took too long,Color Family:White Green,15 Jun 2022,1
Phoebe G.,strong smell lar... tak boleh tahan,Color Family:Grey-50PCS,30 Jun 2022,1
k T.,I bought 3 packs 1 of the pack seller put the ordinary mask into 94 packet...can see clearly the attitude of the seller typical china business....He thinks by cheating people can become rich,Color Family:White-50PCS,26 Aug 2022,1
1***6,Product suggested it was 4 ply. It is only 3 ply. Thinner than similar face mask. Will not buy this product again,Color Family:Black-50PCS,24 Dec 2022,1
kang L.,The quality is low !!! The mask have a very strong chemical smell !!! After wearing this mask my face have allergy !!!,Color Family:White,25 May 2022,1
Chin Y.,"Very disappointed with the mask quality. Not only it’s thinner compared to previous kf94 purchases but the ear loop are not properly attached & “torn off” from the mask upon wearing. Randomly tested from other packs and all the same. 
Description was Made in Korea but the in the package, the manufacturer is based in China. It does not matter where it’s manufactured if the quality is good.",Color Family:White-50PCS,26 Nov 2022,1
lim S.,"Placed order 20/5, received 13/6, it's actually just from Johor to Kl.I just want to say if u need your mask urgently,then pls don't buy from this shop...",Color Family:White,13 Jun 2022,1
Edmund S.,"Bad quality, very thin. Bought 100 pc duuno what to do with it now",Color Family:White-50PCS,04 Aug 2022,1
Joana,Too thin,Color Family:White,26 May 2022,1
Danaraj S.,the black color cannot use all. the strap breaks at one pull,Color Family:Grey,04 Apr 2022,1
Joyce T.,most of the mask is incomplete. most of it dont have metal at top. some half half.,Color Family:White,07 Jun 2022,1
tan F.,no good quality.  like 2 layer only,Color Family:Black-50PCS,29 Jul 2022,1
Lim B.,很差的产品，而且还很薄！,Color Family:Black-50PCS,17 Aug 2022,1
