Name,Review,SkuInfo,Date,StarCount
Y***e,Received white masks not as advertised as seller sending another brand. The masks very thin . It was repeated order. Disappointed with this kind of irresponsible seller.,Color Family:White,18 Feb 2022,1
Azmah Y.,Pink color enough qty dlv,Color Family:Pink,02 Dec 2021,1
PING P.,The left side was from this seller and right was from other seller. Quality is  bad if compare to other seller. It is so thin and if compare the packing there are different.,color_family:White,28 Oct 2022,1
Cherrie C.,fake product. not a 4 ply. use the same plastic bag but inside only 2 ply,color_family:Navy Blue,20 Aug 2022,1
Christine L.,only 2ply very bad quality,color_family:Black,05 Nov 2022,1
Farahin,"Saya beli 5 pax. Baru buka 1 pax nak pakai, tali dah putus.",Color Family:Black,09 Jun 2022,1
*******020,,color_family:Navy Blue,20 Sep 2022,1
J***n,i ordered black but the seller sent me grey instead 😕,color_family:Black,04 Jul 2023,1
chan L.,"The mask is so so thin, it's only 2 ply. Cannot be trusted. Product not as advertised. Never never buy from them again.",color_family:Grey,22 Nov 2022,1
Sam H.,Face mask only 3 layer,color_family:Pink,03 Aug 2022,1
May C.,,color_family:Black,10 Jan 2024,1
Mickey C.,so poor service.... angry with this seller... I ordered 30packs but the seller only gave me 26packs... 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡 I didn't ordered the colours then gave the all that colours... 😡😡😡😡😡😡😡😡😡😡😡😡😡😡 return back my money to me....,Color Family:White,16 Apr 2022,1
Nik N.,barang sampai dlm keadaan baik..tq seller,color_family:Headloop Orange,18 Apr 2023,1
Dorine C.,Purchase white colour but come all in black colour. Slow shipping take almost 10days to received product,Color Family:White,26 Nov 2021,1
May C.,"Order hitam 15,biru 3 tapi dapat barang yang hitam 15 shj, biru tak terima, sudah kedua kali ini macam",color_family:Navy Blue,10 Jan 2024,1
Josephine L.,"order light blue but receive different colour...
shipping fast...",Color:Headloop Darkblue,16 Apr 2022,1
F***.,"miss 1 item, wrong colour",Color Family:Dark Brown,22 Apr 2022,1
Lum C.,". the material is very thin like a piece of paper, unbelievable and very disappointed",color_family:Black,22 Oct 2022,1
Pauline G.,"quality of mask are bad, got so much dust come easy tear.",color_family:White,22 Aug 2023,1
Daniel S.,very thin and doesn't feel like it's 4ply. Not original and would not recommend to buy,Color Family:Light blue,14 Jul 2022,1
W***g,跟商家买了一共二十二包东西，只寄来十五包。联系过商家，也在Lazada做了退款要求，最后还是没有收到任何应有的退款或货物，十分令人失望!,Color Family:Black,17 Dec 2021,1
ABDUL R.,"hantar barang tk cukup.
3 mask dark brown tk dihantar.
teruk",Color Family:Navy Blue,13 Jul 2022,1
T***.,"no good,wrong item sent,no good ,Please think twice before you buy",color_family:Grey,03 Oct 2022,1
Wong S.,"I ordered and paid twice for 10 packs of white and 10 packs of black mask but for each order I only received 9 packs of black mask and 9 packs of white mask.

Not honest seller, always pack shortage 1 pack",color_family:White,15 Apr 2023,1
1***2,"Mask yg terima kurang 10 bungkus, chat seller tapi lepas tak boleh buat refund baru reply suruh tekan missing item buat refund",color_family:Headloop Light Blue,14 May 2023,1
W***.,always give me the wrong colour😡,Color Family:Light blue,18 Jun 2022,1
Lee M.,"Received in good condition and the mask colour nice, thank you seller.",color_family:Dark Red,28 Oct 2022,1
j***h,salaaahhhh face maskk..nk warnaa hijau gelapp...tak sukaaa warnaaa...,Color:Green,09 Apr 2022,1
Nelson T.,"Seller asked to request for refund but rejected my refund request. 

Tried following up but no Reply or response.",Color Family:Black,02 Jan 2022,1
yue Y.,Very thin material compared to the previous one i bought from other seller. Bad quality,color_family:White,07 Oct 2022,1
farah D.,"green colour,dalam gambar cantik,dapat tak berapa cantik,warna tak menarik",Color Family:Green,08 Dec 2021,1
Nithya,I requested for dark red they send me pink color mask.. Not satisfied at all. Next time please check 1st what customer order..,color_family:Dark Red,04 Sep 2022,1
Catherine T.,Received wrong colours !!,Color Family:Grey,23 Apr 2022,1
1***9,"minta maroon..yg dpt oren,adoiiiii,dh la nipis,xleh repeat order dh la kedai ni, tp nsib la byaq rm0.90",Color Family:Black,04 Feb 2022,1
s***a,pertama x beli barang dilazada..oder warna biru tapi barang sampai semua warna pink👎👎👎,color_family:Kid Ramdom Pattern,17 May 2023,1
STANLEY L.,very thin the mask,color_family:Black,10 Aug 2022,1
苏***苏,"It's really disgusting. I bought 11 packs of masks, and only 10 packs were unpacked when the goods arrived. As a businessman, it is so dishonest, which is simply rotten.",color_family:White,19 Aug 2023,1
1***6,Company yg kuat tipu,Color:Navy Blue,16 Dec 2021,1
Yilin 翊.,沒有貨你可以說沒貨，可以退錢，不要欺騙,Color:Light Brown,01 Apr 2022,1
Xuan N.,the shipping time is very good but the mask quality is super poor. don't buy this mask with this dealer,color_family:Black,23 Oct 2023,1
A***y,Seller didn’t send 2 items causing inconvenience.,color_family:Purple,19 Mar 2024,1
Penny T.,"The mask is not 4ply, very thin.",color_family:Black,22 Sep 2022,1
Siewlee,i buy 20packs but  i just receive 18packs.The color of the mask also doesn't same with my order😡,color_family:Pink,06 May 2023,1
G***.,"I ordered 30 packs of face masks but I received only 24 packs 
6 packs of mask missing. I received the color which is I didn't choose. The seller just mixed up the colours instead of the colours I chosen. I paid for the 30 packs of masks but just getting 24 packs?",Color Family:Dark Salmon,09 Apr 2022,1
滈***.,wrong colour,color_family:Navy Blue,10 Oct 2023,1
Johana B.,wrong item received!,Color Family:Black,27 Nov 2021,1
W***.,everytime i order also give me the wrong colour🙂,Color Family:Orange,29 Jun 2022,1
A***y,Seller didn’t send 2 items causing inconvenience.,color_family:Headloop Light Green,19 Mar 2024,1
n***.,I did not recieved this green,color_family:Headloop Light Green,24 Oct 2023,1
Hia S.,The color is totally wrong,Color Family:Navy Blue,11 Apr 2022,1
M***7,Sangat teruk saya minta mask yg tidak belah kt hidung dia bagi jugak mask berbelah kt saya saya nak tukar yg baharu,color_family:Hitam,27 Aug 2022,1
zoe L.,order light blue but received grey,Color Family:Light blue,25 Apr 2022,1
