Name,Review,SkuInfo,Date,StarCount
1***1,"Comfortable fit and stylish design, Easy to wear and fold, Effective four-layer filtration,",color_family:White,11 May 2024,5
Coco M.,"Very cheap at less than 10c each of these mask. The quality is actually quite thin, just normal use, I don’t think suitable for patients. By the way it’s value buy.",color_family:Black,08 May 2024,5
1***1,"Secure nose clip for a snug fit, Waterproof and breathable mask, Convenient earloop design,",color_family:Black,11 May 2024,5
P***.,"Easy to wear and fold, Price affordable
Perfect size for adults,",color_family:Black,19 Jun 2024,5
ong T.,"this face mask good quality and good condition , 
fast delivery.",color_family:Black,22 May 2024,5
zin M.,"I buy White 8 Not good ❌❌❌❌
black colour 👌👌👌👌👌👍👍👍👍



white Don't buy",color_family:White,19 Aug 2023,5
D***.,Goods received in good conditions. Well packed and fast delivery.,color_family:White,24 Apr 2024,5
G***n,overall ok. U get what u paid. Thanks seller for prompt delivery.,color_family:Black,17 Apr 2024,5
nur N.,CANTIKKK GILE 😭 I ORDERED SMPAI BANYAK II,Color Family:Pink,15 Feb 2022,5
Lim C.,"Good packing, received the parcel in good condition thank you seller and courier services.",color_family:Navy Blue,15 Dec 2023,5
Joanne L.,Goods received in good condition and fast delivery. Will repeat again anyway thank you seller.,color_family:Black,08 Dec 2023,4
Vivi,"High-quality materials used, Convenient earloop design, Effective four-layer filtration, Waterproof and breathable mask,",color_family:White,1  day ago,5
susilawati,"maaf boss baru sempat rviu ya
semua barang ok ya
qty cukup dan quality pon bagus
⭐⭐⭐⭐⭐",color_family:Black,20 Oct 2023,5
digitalvault,"So far good, I will update later if there is any problem. Thank you seller. The mask is durable.",color_family:Black,2  weeks ago,5
****2,Pretty decent mask for cheap. A bit thin but overall good quality suitable for daily use. Fits around face quite nicely.,color_family:Black,2  weeks ago,5
R***.,"High-quality materials used, Comfortable fit and stylish design, High-quality materials used,",color_family:White,1  week ago,5
Suki S.,"Received in short time.. Quantity same with my order. Overall looks nice too just i found It's only 3 layer even the product description write 4 layer when i buy it.. But It's ok la, no expensive and value for money.",color_family:Red,02 Oct 2023,5
Suki S.,"Received in short time. Overall looks good but when i cut the mask, i found It's only 3 layers. But It's ok la as it's not so expensive la..it's value for money.",color_family:Purple,02 Oct 2023,5
Suki S.,"Received in short time. Overall looks good but when i cut the mask, i found It's only 3 layers. But It's ok la as it's not so expensive la..it's value for money.",color_family:Pink,02 Oct 2023,5
Jay L.,"High-quality materials used, Convenient earloop design, Perfect size for adults, Waterproof and breathable mask,",color_family:White,29 Jun 2024,5
Xiang Y.,"Bought on 25/7, received on 27/7.
Well packed.
Product received as illustrated.",color_family:White,6  days ago,5
susilawati,"barang semua dah sampai boss
semua ok cukup qty
nanti boleh beli lagi
⭐⭐⭐⭐⭐",color_family:Careion 3D White,20 Oct 2023,5
Alexis A.,"Quality =100%
Quantity= Enough for me and my family

Everything fine... Courier services also fast.. 
Thanks seller..",color_family:White,01 Sep 2023,5
Catherine,"Received the masks in two days after placed order.
Received in good condition.",color_family:Black,11 Oct 2023,5
yee I.,"Effective four-layer filtration, Comfortable fit and stylish design, Convenient earloop design,",color_family:White,04 Jul 2024,5
T***.,"fast delivery & received in good condition, haven't use yet... not sure of the quality..",color_family:Black,21 Jun 2024,5
J***.,"Perfect size for adults, Easy to wear and fold, Convenient earloop design,",color_family:Black,6  days ago,5
T***.,nice and solid packing. goods received in good condition . thanks.,color_family:White,02 Nov 2023,5
C***e,"Perfect size for adults, Comfortable fit and stylish design, Convenient earloop design,",color_family:White,03 Jul 2024,5
M***.,"High-quality materials used, Secure nose clip for a snug fit, Perfect size for adults,",color_family:Black,02 Jul 2024,5
Puvaneswari K.,Good packaging. received in good condition. fast delivery. thanks to seller and sender,color_family:Purple,01 Sep 2023,5
1***1,货已收到…喜欢…舒服…非常棒棒哒……谢谢送货员…谢谢商家…👍👍👍👍👍👍👍👍👍👍👍👍,color_family:White,13 Oct 2023,5
1***1,货已收到…已经订过很多次了…带起来非常的舒服…非常喜欢…👍👍👍👍👍👍👍👍👍👍👍👍,color_family:Black,13 Oct 2023,5
S***.,"Very fast delivery,product for the price reasonable,seller service good 👍",color_family:Black,3  weeks ago,5
Tan M.,"This is 3th times I buy. Pass 2 times,ok. But this time buy 20pcs, after checking only 5 PCs is normal quality. Another 15pcs are like video & photo bad quality.",color_family:White,01 Aug 2023,1
L***.,Barang sudah selamat di terima 🤩 penghantaran pantas 😍 cuma x cukup 1 order 10 terima 9 saje 😅 tq seller,color_family:Careion 3D Black,29 Jul 2023,5
Lee S.,"Received items in good condition, fast delivery, affordable price and trusted seller, will purchase again on this seller in the future👍👍👍",color_family:Pink,03 Jun 2023,5
j***9,"The things are very good, the price is good, I am satisfied, it is worth buying, and I will buy it again next time",color_family:Grey,31 May 2023,5
F***.,"Fast delivery, face mask sampai dengan selamat dekat dalam gate rumah. thanks seller dan rider. 
5 bintang untuk seller.",color_family:White,20 May 2023,5
SEO S.,"Item received in good condition
Good packing
Good value for money
Good product
Thank for seller
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻",color_family:Grey,17 Apr 2023,5
T***.,"Item was received in good condition. Fast delivery. Thumbs up! Product quality is good. My family likes it.

Quality
Product quality is superior. 10/10

Functionality
Item works as expected. 10/10",color_family:Black,14 May 2023,5
Y***.,Thinner than my usual mask bt still in good condition. But all the masks come with the unzip plastic,color_family:White,15 May 2024,5
Aileen K.,items received in good condition.fast delivery.thank you very much,color_family:White,28 Jun 2024,5
0***2,Items received in good condition..... correct items good quality,color_family:Black,21 Sep 2023,5
1***8,"item received in good condition...
tq seller and item wrapped very well and fast delivery",color_family:Grey,13 Jul 2023,5
Shelly K.,packing looks damaged. Lucky nothing less. Abit slow for the arrangements. Anyway thanks seller,color_family:Black,03 Jun 2023,5
Mickey C.,tq seller.... received in good condition.... will order again....,color_family:White,30 Jun 2024,5
L***.,"Convenient earloop design, Easy to wear and fold. Will buy again if needed.",color_family:Black,09 Jun 2024,5
C***.,Item received in good condition. Thank you for your preparation.,color_family:Black,26 Jun 2024,5
C***.,Item received in good condition. Thank you for your preparation.,color_family:White,26 Jun 2024,5
M***.,"fast delivery, all items received with the correct quantity, quality normal as others",color_family:Black,16 Jul 2023,5
